Greater Victoria,,,,Mount Douglas Secondary,
,,,Schedule Rule Summary,,
Page 1,,,,,
,,,,,"April 17, 2023"
,Rule Definition,Summary,,,
,Course - Sequencing,Sequence MAC--11--- before MACC-12---,,,
,Course - Sequencing,Sequence MADEM10--- before MENT-12---,,,
,Course - Sequencing,Sequence MADEM10--- before MMAP-11---,,,
,Course - Sequencing,"Sequence MADIT09--- before MCMPR11---, MMACS11---, MCMPR11W--",,,
,Course - Sequencing,"Sequence MADIT09--- before MDCOM11---, MDCOM11C--",,,
,Course - Sequencing,Sequence MBIT-11 before MIT--11---,,,
,Course - Sequencing,Sequence MCH--11--- before MATPH12---,,,
,Course - Sequencing,Sequence MCH--11--- before MCH--12---,,,
,Course - Sequencing,"Sequence MCMPR11W-- before MCMPR12---, MCMPR12W--",,,
,Course - Sequencing,Sequence MCMPR12--- before MMACS12---,,,
,Course - Sequencing,"Sequence MCMPS10--- before MCMPS11---, MCTWR11---, MLTST11---, MNMD-11---",,,
,Course - Sequencing,Sequence MCMPS11--- before MENST12---,,,
,Course - Sequencing,"Sequence MCSTU10--- before MCMPR11---, MCMPR11W--, MMACS11---, MDMD-12---, MDMD-12D--, MMEDD11---, MMEDD12---",,,
,Course - Sequencing,Sequence MCTWR10--- before MCTWR11---,,,
,Course - Sequencing,Sequence MCTWR11--- before MENST12---,,,
,Course - Sequencing,"Sequence MDCOM11C-- before MDMD-12---, MDMD-12D--",,,
,Course - Sequencing,Sequence MEN--09E-- before MEN--09---,,,
,Course - Sequencing,"Sequence MEPSS11--- before MWH--12---, MCMCL12---, MPGEO12---, MINST12---, MLST-12---",,,
,Course - Sequencing,Sequence MFMP-10--- before MFOM-11---,,,
,Course - Sequencing,"Sequence MFMP-10--- before MPREC11---, MPREC11H--",,,
,Course - Sequencing,"Sequence MFMP-10C-- before MPREC11---, MPREC11H--",,,
,Course - Sequencing,"Sequence MFMP-10H-- before MPREC11---, MPREC11H--",,,
,Course - Sequencing,Sequence MFOM-11--- before MFOM-12---,,,
,Course - Sequencing,Sequence MFR--09--- before MFR--10---,,,
,Course - Sequencing,Sequence MFR--10--- before MFR--11---,,,
,Course - Sequencing,Sequence MFR--11--- before MFR--12---,,,
,Course - Sequencing,Sequence MIT--11--- before MIT--12---,,,
,Course - Sequencing,Sequence MLFSC11--- before MATPH12---,,,
,Course - Sequencing,Sequence MLTST11--- before MENST12---,,,
,Course - Sequencing,"Sequence MMA--09--- before MFMP-10---, MFMP-10H--",,,
,Course - Sequencing,Sequence MMA--09--- before MWPM-10---,,,
,Course - Sequencing,"Sequence MMA--09H-- before MFMP-10---, MFMP-10H--",,,
,Course - Sequencing,Sequence MMACS11--- before MMACS12---,,,
,Course - Sequencing,Sequence MMACS12--- before ACSC-2A---,,,
,Course - Sequencing,Sequence MMAP-11--- before MENT-12---,,,
,Course - Sequencing,Sequence MNMD-10--- before MNMD-11---,,,
,Course - Sequencing,Sequence MNMD-11--- before MENST12---,,,
Greater Victoria,,,,Mount Douglas Secondary,
,,,Schedule Rule Summary,,
Page 2,,,,,
,,,,,"April 17, 2023"
,Rule Definition,Summary,,,
,Course - Sequencing,Sequence MPH--11--- before MPH--12---,,,
,Course - Sequencing,"Sequence MPREC11--- before MPREC12---, MPREC12H--",,,
,Course - Sequencing,"Sequence MPREC11H-- before MPREC12---, MPREC12H--",,,
,Course - Sequencing,"Sequence MPREC12--- before ACAL-12---, MCALC12---",,,
,Course - Sequencing,"Sequence MPREC12H-- before ACAL-12---, MCALC12---",,,
,Course - Sequencing,Sequence MSC--09D-- before MSC--10---,,,
,Course - Sequencing,"Sequence MSC--10--- before MCH--11---, MESC-11---, MLFSC11---, MPH--11---, MEVSC11---",,,
,Course - Sequencing,"Sequence MSC--10C-- before MCH--11---, MESC-11---, MLFSC11---, MPH--11---",,,
,Course - Sequencing,Sequence MSP--09--- before MSP--10---,,,
,Course - Sequencing,Sequence MSP--10--- before MSP--11---,,,
,Course - Sequencing,Sequence MSP--11--- before MSP--12---,,,
,Course - Sequencing,Sequence MTAUT11--- before MTAUT12---,,,
,Course - Sequencing,Sequence MTAUT12--- before MTEAD12---,,,
,Course - Sequencing,"Sequence MWBDV10--- before MDCOM11---, MMACS11---, MCMPR11---",,,
,Course - Sequencing,Sequence MWBDV10--- before MMACS11---,,,
,Course - Sequencing,"Sequence MWBDV10IT- before MCMPR11---, MCMPR11W--",,,
,Course - Sequencing,Sequence MWPM-11--- before MFOM-11---,,,
,Course - Sequencing,Sequence MWPM-11--- before MFOM-11---,,,
,Course - Sequencing,"Sequence XLDCE09NM- before MMA--09---, MWPM-10---",,,
